Country Name,2012,2013,2014,2015,2016,2017
Country Name,2012,2013,2014,2015,2016,2017
United States,4.05E+11,3.98E+11,5.52E+11,8.74E+11,7.70E+11,1.15E+12
China,3.23E+11,5.08E+11,4.85E+11,5.34E+11,6.29E+11,6.88E+11
"Korea, Rep.",1.75E+11,1.747E+11,1.747E+11,1.49E+11,6.50E+10,65000000000
United Kingdom,1.50E+11,1.54E+11,1.71E+11,1.63E+11,1.46E+11,1.45E+11
France,1.42E+11,1.42E+11,1.42E+11,1.42E+11,1.42E+11,1.42E+11
Japan,2.29E+11,1.89E+11,1.74E+11,1.60E+11,1.57E+11,1.55E+11
Germany,1.75E+11,1.85E+11,1.92E+11,1.62E+11,1.68E+11,1.80E+11
Australia,7.55E+10,8.26E+10,7.59E+10,7.17E+10,6.38E+10,6.82E+10
India,7.08E+10,7.15E+10,71500000000,71500000000,71500000000,71500000000
Brazil,1.45E+11,1.44E+11,1.46E+11,1.12E+11,1.14E+11,1.30E+11
Russian Federation,8.38E+10,8.62E+10,8.27E+10,5.21E+10,6.42E+10,7.36E+10